"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
253,171,119,103,137,233,563,1289,1432,1089,1021,1047,1122,1502,1710,1887,2121,2331,1898,1448,1184,984,725,450,3
285,193,169,126,150,246,503,952,979,1083,1132,1183,1352,1740,2206,2751,2519,2838,2773,2498,2549,1665,965,532,3
419,189,122,110,127,255,601,1405,1450,1121,1022,1146,1264,1695,2044,2454,2674,2727,2544,2185,1464,1290,973,641,4
372,240,203,145,186,268,522,935,1041,1222,1275,1442,1481,2033,2439,2654,2669,2854,2952,2795,2961,2997,2748,1408,5
695,398,285,227,214,263,492,754,893,1310,1870,2228,2344,2609,2835,2905,2954,2890,2806,2405,2620,2959,2372,2139,1
612,244,163,114,130,291,928,1837,1727,1265,1144,1168,1248,1547,1765,2031,2443,2407,1758,1473,1171,952,671,411,2
255,158,121,98,149,234,536,1359,1400,1120,983,961,1061,1412,1544,1628,2007,2099,1553,1198,965,821,677,388,3
230,166,106,94,134,203,535,1286,1393,1059,938,1007,1041,1450,1529,1797,2132,2129,1662,1298,1055,898,696,427,3
285,167,134,93,136,220,533,1381,1391,1140,912,1073,1095,1443,1535,1913,2162,2230,1878,1374,1272,1000,753,449,3
284,206,135,113,153,213,505,1339,1461,1194,1008,1083,1143,1503,1689,2026,2390,2616,1969,1528,1318,1177,967,672,4
422,289,203,184,188,266,471,933,999,1161,1333,1349,1240,1683,2064,2486,2768,2991,2756,2652,2820,2510,2487,1493,5
790,504,338,205,271,327,479,761,898,1454,2143,2535,2438,2629,2794,2820,2885,2908,3013,2915,2964,2793,2838,2090,1
705,284,176,116,148,401,1020,1936,1680,1460,1186,1193,1276,1589,1928,2274,2245,2402,1986,1475,1389,953,702,438,2
343,194,143,115,169,265,516,1400,1419,1088,990,1093,1096,1373,1481,1917,2098,2197,1805,1275,1100,1017,686,373,3
271,184,129,92,157,264,599,1408,1427,1135,1047,1111,1181,1545,1651,1934,2285,2516,2091,1570,1256,1214,810,524,3
229,152,112,103,141,218,499,1264,1485,1142,1071,1045,1132,1600,1711,1829,2323,2469,2032,1644,1294,1107,854,574,4
404,269,211,155,201,316,549,962,1116,1205,1254,1505,1323,1688,1876,2290,2698,2904,2886,2654,2757,2563,2379,1568,5
847,470,290,222,240,281,547,922,1036,1334,1669,2201,2311,2619,2783,2777,2879,2948,2927,2956,3003,2684,2417,1536,1
547,221,154,121,142,353,933,1891,1707,1244,1129,1233,1322,1619,1686,1999,2085,2142,1665,1380,1079,935,720,412,2
265,148,142,85,144,226,530,1379,1434,1141,1000,1048,1085,1430,1549,1878,1845,1998,1593,1201,964,827,663,418,3
241,130,106,85,117,222,490,1313,1390,1066,928,912,1032,1378,1400,1479,1673,1821,1426,1065,919,780,591,338,3
216,128,101,80,121,218,511,1289,1367,1025,926,954,1088,1297,1502,1591,2034,2089,1483,1235,996,800,571,353,3
216,161,123,97,125,236,527,1271,1555,1169,1022,1085,1250,1521,1613,1850,2190,2518,2013,1500,1212,1032,907,556,4
399,242,163,141,197,274,534,1067,1049,1186,1312,1423,1400,1586,2053,2439,2835,2865,2786,2726,2382,2508,2318,1323,5
634,414,296,208,237,328,502,853,1074,1397,1890,2382,2279,2641,2770,2814,2815,2908,2959,2901,2721,2642,2489,1557,1
540,219,126,104,116,371,1033,1901,1733,1395,1166,1287,1376,1669,1845,2075,2306,2744,1931,1529,1315,1028,796,436,2
273,206,124,105,162,243,569,1341,1454,1153,959,1040,1074,1437,1498,1794,1974,2050,1648,1353,1102,858,726,427,3
215,177,138,129,143,233,536,1366,1455,1093,1012,1077,1137,1545,1509,1707,2155,2154,1764,1337,1107,850,692,452,3
261,167,112,105,130,239,532,1396,1434,1114,947,1014,1141,1460,1584,1737,1838,2023,1690,1295,1032,907,681,410,3
247,167,128,110,135,225,530,1370,1527,1145,1057,1106,1371,1621,2104,2246,2393,2323,1868,1464,1301,1122,889,635,4
691,361,155,141,174,483,1090,1983,1873,1478,1304,1246,1289,1758,1838,1971,2302,2362,1813,1387,1124,1040,666,426,3
251,152,91,58,116,218,519,1371,1524,1167,1009,1111,1173,1546,1668,1823,2233,2363,1865,1503,1251,942,752,475,3
301,193,134,101,131,243,481,1385,1496,1182,983,1074,1185,1530,1691,2088,2191,2156,1659,1265,1086,954,719,433,3
243,175,106,105,137,238,513,1323,1553,1219,1063,1104,1160,1509,1736,2103,2289,2468,2233,1599,1232,1027,830,563,4
342,231,178,138,185,318,525,1097,1040,1191,1326,1420,1463,1825,2046,2411,2585,2730,2617,2700,2605,2303,1417,950,5
487,339,216,200,240,273,475,778,980,1285,1804,2079,2107,2303,2712,2684,2726,2824,2948,2512,2419,2694,1677,928,1
415,199,116,128,156,367,964,1822,1766,1268,1190,1144,1188,1544,1623,1878,2286,2333,1739,1510,1245,1070,729,447,2
286,182,143,125,159,245,533,1375,1367,1213,1040,1035,1118,1434,1566,1768,2007,2217,1783,1313,1044,947,647,427,3
252,150,122,108,141,253,512,1313,1467,1113,994,1012,1041,1175,1609,1923,2121,2383,1780,1360,1108,895,726,432,3
266,205,112,108,139,258,620,1393,1494,1184,1045,1129,1131,1520,1603,1878,2293,2478,2157,1550,1244,1164,859,539,3
438,279,179,162,179,306,570,1052,1167,1261,1369,1481,1498,1868,2154,2460,2827,2966,2905,2847,2599,2547,2170,1155,5
